timestamp,datetime,open,high,low,close,volume,ema20,ema50,ema100,rsi,atr,adx,momentum_3,momentum_3_atr,momentum_5,momentum_5_atr,momentum_10,momentum_10_atr,ema_slope_5,ema_slope_10,ema_gap_20_50,ema_gap_50_100,distance_ema20,distance_ema50,distance_ema100,volatility_10,volatility_20,volatility_ratio,return_1,return_3,return_5,return_10,volume_change,volume_ma20,volume_ratio,ema_cross,price_above_ema20,price_above_ema50,price_above_ema100,rsi_above_50,rsi_overbought,rsi_oversold,hour_utc,asia_hours,europe_hours,us_hours
1711018800000,2024-03-21 11:00:00+00:00,3629.34922311,3630.24411827,3607.85288797,3619.25509377,0.0,3619.25509377,3619.25509377,3619.25509377,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0,0,0,0,0,0,0,11,0,1,0
1711022400000,2024-03-21 12:00:00+00:00,3619.22026105,3645.85657739,3610.70392102,3631.63006624,0.0,3620.4336625766664,3619.740386808039,3619.5001427298016,,,,,,,,,,,,0.0001915263788402764,6.637493266027266e-05,0.0030925587117000284,0.0032846773971117074,0.003351270350013024,,,,0.0034192042697684943,,,,0.0,,0.0,1,1,1,1,0,0,0,12,0,1,0
1711026000000,2024-03-21 13:00:00+00:00,3631.63006624,3657.09,3602.65901522,3606.65142936,0.0,3619.1210689369836,3619.2270943590966,3619.245712762083,,,,,,,,,,,,-2.9295045419547616e-05,-5.144277140564716e-06,-0.003445488376725241,-0.0034746824864062996,-0.0034798088888171787,,,,-0.006878078555468514,,,,0.0,,0.0,0,0,0,0,0,0,0,13,0,1,0
1711029600000,2024-03-21 14:00:00+00:00,3606.65142936,3651.41675609,3596.10686622,3612.84803604,0.0,3618.5236372325094,3618.976935209328,3619.1190260943185,,,,-6.407057729999906,,,,,,,,-0.00012525583471077956,-3.926118040494731e-05,-0.0015684853165282187,-0.001693544689301445,-0.0017327393791428218,,,,0.0017181052290100585,-0.0017702697278864088,,,0.0,,0.0,0,0,0,0,0,0,0,14,0,1,0
1711033200000,2024-03-21 15:00:00+00:00,3612.84803604,3618.69228462,3563.90399954,3580.32825562,0.0,3614.885981840842,3617.461300715629,3618.35089202552,,,,-51.30181061999974,,,,,,,,-0.0007119133172973282,-0.000245855456376949,-0.00955983851065851,-0.010264946051608888,-0.010508277814989635,,,,-0.009001148151153382,-0.01412638668704358,,,0.0,,0.0,0,0,0,0,0,0,0,15,0,1,0
1711036800000,2024-03-21 16:00:00+00:00,3580.32825562,3614.03512323,3570.38483891,3613.8837693,0.0,3614.790533027428,3617.3210053659964,3618.2624341497667,,,,7.232339940000202,,-5.371324469999763,,,,-4.464560742571848,,-0.00069954320747721,-0.0002601880877641631,-0.0002508482079785934,-0.0009502159362958041,-0.0012101567891925394,,,,0.00937218916375282,0.0020052783257968887,-0.0014840966803488786,,0.0,,0.0,0,0,0,0,0,0,0,16,0,0,1
1711040400000,2024-03-21 17:00:00+00:00,3613.19477143,3627.45465776,3538.63089596,3550.55036808,0.0,3608.6724220800543,3614.7025490018395,3616.921601158286,,,,-62.29766795999967,,-81.07969815999968,,,,-11.761240496612118,,-0.0016682221676719762,-0.0006135195619766873,-0.016106215029224578,-0.017747568451947512,-0.018350199533501407,,,,-0.01752502439564274,-0.0172433679298295,-0.022325979431034204,,0.0,,0.0,0,0,0,0,0,0,0,17,0,0,1
1711044000000,2024-03-21 18:00:00+00:00,3550.92366424,3560.191896,3490.99614972,3499.69330627,0.0,3598.293458669573,3610.192382620199,3614.6002487842607,,,,-80.63494935000017,,-106.95812308999984,,,,-20.82761026741082,,-0.003295925172273051,-0.0012194615892985772,-0.027401920808323696,-0.03060753130003596,-0.03178966818057089,,,,-0.014323712252391374,-0.02252166382326215,-0.02965579712508548,,0.0,,0.0,0,0,0,0,0,0,0,18,0,0,1
1711047600000,2024-03-21 19:00:00+00:00,3499.69330627,3530.73628068,3496.25869943,3523.70226967,0.0,3591.189535907709,3606.8006134848974,3612.8002888018,,,,-90.18149962999996,,-89.14576636999982,,,,-27.334101324800486,,-0.004328234147133821,-0.0016606717330872323,-0.018792454578883906,-0.02303935058240094,-0.024661761517227293,,,,0.006860304975006226,-0.024954178215717215,-0.024674651543802995,,0.0,,0.0,0,0,0,0,0,0,0,19,0,0,1
1711051200000,2024-03-21 20:00:00+00:00,3523.58058863,3576.48447198,3495.77004557,3565.7692236,0.0,3588.768553783165,3605.191539371764,3611.868980579982,,,,15.218855519999579,,-14.559032020000359,,,,-26.11742805767699,,-0.004555371166620747,-0.0018487495654245666,-0.006408696977385152,-0.01093487415057951,-0.012763407872170219,44.51051311157649,,,0.011938282723852112,0.004286337030117826,-0.004066395866677119,,0.0,,0.0,0,0,0,0,0,0,0,20,0,0,1
1711054800000,2024-03-21 21:00:00+00:00,3565.7692236,3583.85214818,3554.48332204,3582.16209336,0.0,3588.139367076197,3604.288423841891,3611.2807253875067,,,,82.4687870900002,,-31.72167593999984,,-37.093000409999604,,-26.651165951231178,-31.115726693803026,-0.004480511786701187,-0.0019362387134457234,-0.0016658421272714307,-0.006138890088686595,-0.008063242445485015,42.41171594286459,,,0.004597288476075434,0.02356457548501467,-0.008777724455190317,-0.010248794143814188,0.0,,0.0,0,0,0,0,0,0,0,21,0,0,1
1711058400000,2024-03-21 22:00:00+00:00,3582.16209336,3601.77736992,3561.70385051,3562.07991482,0.0,3585.6575144803687,3602.6331881939736,3610.306451910922,,,,38.37764514999981,,11.52954673999966,,-69.55015142000002,,-23.014907599685557,-34.776148096297675,-0.0047120183562498474,-0.0021253773936245795,-0.006575530307942887,-0.011256564644679631,-0.013358017590278534,37.866048936947024,,,-0.005606161311690894,0.010891284851257899,0.003247256212347338,-0.01915122139409109,0.0,,0.0,0,0,0,0,0,0,0,22,0,0,1
1711062000000,2024-03-21 23:00:00+00:00,3563.63294207,3579.44034702,3560.08215678,3570.34131961,0.0,3584.1988292546193,3601.366840406367,3609.515063152488,,,,4.572096010000223,,70.64801334000003,,-36.31010974999981,,-14.094629414953488,-34.92223968236431,-0.004767082030946447,-0.0022574286582986427,-0.0038662781572028912,-0.008614929323019495,-0.010852910392975137,35.60985440855678,,,0.002319264302754309,0.0012822187088665782,0.020186915582982135,-0.010067540615213533,0.0,,0.0,0,0,0,0,0,0,0,23,0,0,1
1711065600000,2024-03-22 00:00:00+00:00,3570.34131961,3598.21809037,3555.500958,3574.77047044,0.0,3583.3008903198934,3600.323845505725,3608.827051415607,43.439958699715426,47.88946532999996,,-7.391622920000373,-0.15434757663435006,51.06820076999975,1.0663765071941078,-38.07756560000007,-0.7951136087574129,-7.8886455878155175,-35.222746912616,-0.004728173330041189,-0.002356224276956314,-0.0023806038457272844,-0.007097521268155712,-0.009437022193193784,31.902793771042617,,,0.0012405398905905862,-0.0020634529447178807,0.01449276836172153,-0.010539487191311925,0.0,,0.0,0,0,0,0,0,0,0,0,1,0,0
1711069200000,2024-03-22 01:00:00+00:00,3574.77047044,3589.55416169,3544.40806974,3544.40806974,0.0,3579.5968121694273,3598.1310699855007,3607.5514280160896,39.86965442024662,49.514812590714264,,-17.671845079999912,-0.3569001709866844,-21.36115385999983,-0.4314093650433275,-35.92018588000019,-0.7254432360859978,-9.171741613737595,-35.289169671414584,-0.005151079117345261,-0.0026112886312391246,-0.009830364780133164,-0.014930806910743595,-0.017503106895641468,31.67226282846829,,,-0.008493524535650221,-0.004961102923737415,-0.005990615914967634,-0.010032651565849204,0.0,,0.0,0,0,0,0,0,0,0,1,1,0,0
1711072800000,2024-03-22 02:00:00+00:00,3544.40806974,3557.6543264,3534.09342728,3556.86403429,0.0,3577.43178570472,3596.512754860187,3606.547717249236,39.88283458280765,48.686829929999995,,-13.477285320000192,-0.2768158317018591,-25.298059070000363,-0.5196078509603602,-57.019735010000204,-1.1711531658968095,-10.707581371476863,-37.35874732270804,-0.005305408448692979,-0.0027824288421456453,-0.005749306387031059,-0.011024212417044158,-0.01377596717259868,25.089400266946367,,,0.003514258038271878,-0.0037747890505528403,-0.00706223180600718,-0.015777965936365712,0.0,,0.0,0,0,0,0,0,0,0,2,1,0,0
1711076400000,2024-03-22 03:00:00+00:00,3556.86403429,3607.02349128,3540.2667785,3601.33901519,0.0,3579.708664703318,3596.70201997116,3606.4445746342017,49.31716555494634,49.567239072857156,,26.56854475,0.53601018025126,39.25910036999994,0.7920372630053808,50.7886471099996,1.0246414377719548,-5.948849777050782,-28.96375737673634,-0.004724704791635315,-0.0027014291947158927,0.006042489071795619,0.0012892353030893868,-0.0014156766695131299,29.31542745478251,,,0.012503986790396882,0.00743223794917669,0.011021397977811542,0.014304443493210917,0.0,,0.0,0,1,1,0,0,0,0,3,1,0,0
1711080000000,2024-03-22 04:00:00+00:00,3601.33901519,3604.46175869,3579.25408404,3591.61912906,0.0,3580.8429946420497,3596.5026909158205,3606.1510014545147,47.29582195025707,47.41708084285714,,47.211059320000004,0.9956551200707421,21.27780944999995,0.4487372286901286,91.92582278999998,1.9386647418183622,-3.3558346125696517,-17.45046402752314,-0.004354145574066896,-0.002675514845274817,0.0030093847828777803,-0.0013578640906221472,-0.004029745950364639,22.606091028775406,,,-0.0026989644932072787,0.013319871298979269,0.005959600930345754,0.026266822474217077,0.0,,0.0,0,1,0,0,0,0,0,4,1,0,0
1711083600000,2024-03-22 05:00:00+00:00,3591.61912906,3611.31156548,3576.435144,3611.31156548,0.0,3583.7447632932826,3597.083431094808,3606.253190841158,54.08004575543612,45.99480487142854,,54.44753119000006,1.183775675148501,36.54109504000007,0.7944613558453902,87.60929580999982,1.9047650284612867,0.44387297338926146,-7.444772614426256,-0.003708189720099328,-0.002542738754349923,0.007692177877473826,0.003955464102444074,0.001402667636229427,20.728568420979357,,,0.005482885493249379,0.0153077347531696,0.010221941616157082,0.02486285420992873,0.0,,0.0,0,1,1,1,1,0,0,5,1,0,0
1711087200000,2024-03-22 06:00:00+00:00,3611.31156548,3621.3654792,3594.20508711,3607.50361392,0.0,3586.0075109720174,3597.492065715404,3606.277951694204,49.08840755573994,44.81695542642855,,6.164598730000307,0.1375505915416313,63.09554418000016,1.4078498545840827,41.73439032000033,0.9312187747449849,6.410698802590105,-2.7610428111474903,-0.003192378060492729,-0.0024362753222259815,0.005994438907953112,0.0027829243322056696,0.00033986904010551333,22.546607550144405,34.34040163583587,0.6565621389417668,-0.0010544511297223558,0.0017117518522968833,0.01780143339551432,0.011704175930338234,0.0,0.0,0.0,0,1,1,1,0,0,0,6,1,0,0
1711090800000,2024-03-22 07:00:00+00:00,3607.50361392,3612.20412888,3588.69027092,3590.72718647,0.0,3586.457003876587,3597.2267763332316,3605.97001574917,56.621345415616815,40.15196229500001,,-0.8919425899998714,-0.022214171836650677,33.86315218000027,0.8433747753398416,8.565093109999907,0.21331692451470238,9.025218171866982,-1.6823631996098811,-0.0029939097883683137,-0.002424656715877372,0.0011906409553488543,-0.0018068335046301106,-0.004227109269516009,22.78912384202979,33.21268287974301,0.6861572708397065,-0.004650425680868597,-0.00024833997090145665,0.00952050791189718,0.0023910400721052216,0.0,0.0,0.0,0,1,0,0,1,0,0,7,1,0,0
1711094400000,2024-03-22 08:00:00+00:00,3590.72718647,3602.78822604,3555.91447994,3559.77232488,0.0,3583.915605876912,3595.757974315458,3605.055209989385,60.596454033694286,38.557533710714324,,-51.539240600000085,-1.3366840573020644,-41.56669031000001,-1.0780432851816046,-2.307589940000071,-0.059847965311089914,4.2069411735942595,-1.7419086034565225,-0.0032934275674658493,-0.0025789440472825127,-0.006736565157204643,-0.010007806335271725,-0.012560940809979533,23.013654426615066,31.023854213921776,0.7418051370382949,-0.008620777904442156,-0.014271612865712324,-0.01154200982875453,-0.0006478209347295927,0.0,0.0,0.0,0,0,0,0,1,0,0,8,0,1,0
1711098000000,2024-03-22 09:00:00+00:00,3559.77232488,3570.09903193,3523.51668367,3543.50583816,0.0,3580.0670565705395,3593.7088709368127,3603.8364105472187,53.59093430917465,39.422159925714304,,-63.99777575999997,-1.623395975273639,-48.11329089999981,-1.2204630844850088,-26.83548144999986,-0.6807207291677319,-0.7759380715101543,-4.131772684079806,-0.003796026572045879,-0.0028102106912417458,-0.010212439552895558,-0.013969699433033233,-0.016740652325574836,25.776034399332946,30.879864093704633,0.8347198135689652,-0.0045695300809857065,-0.01774018340911887,-0.013395989154504795,-0.007516222973587117,0.0,0.0,0.0,0,0,0,0,1,0,0,9,0,1,0
1711101600000,2024-03-22 10:00:00+00:00,3543.50583816,3550.59886591,3511.08877646,3513.091008,0.0,3573.6883852781075,3590.547386115761,3602.039471882917,40.02653441038592,36.47899300000001,,-77.63617847000023,-2.128243465218409,-98.22055748000002,-2.6925238172006916,-61.67946243999995,-1.6908214116545992,-10.056378015175142,-9.61250504178588,-0.004695384581984763,-0.003190438599260707,-0.01695653642543091,-0.02157230354771984,-0.024693917037066932,33.03939404836222,31.998033623883945,1.0325445131009536,-0.008583259503191165,-0.021621296867814555,-0.027198029219875686,-0.017254104270478687,0.0,0.0,0.0,0,0,0,0,0,0,0,10,0,1,0
1711105200000,2024-03-22 11:00:00+00:00,3513.091008,3521.0556785,3483.51577449,3484.9923548,0.0,3565.2411442801927,3586.4079731229863,3599.7217071882055,32.383868860794834,37.06264141928575,,-74.77997007999966,-2.01766434383399,-122.51125911999998,-3.3055188305129075,-59.415714939999816,-1.6031160398913424,-20.766366691824715,-14.35566788923461,-0.005901957892526622,-0.0036985453732807576,-0.0225086568432931,-0.028277769590913274,-0.03187172835030686,42.53376681470099,36.69174945060468,1.1592188285260099,-0.007998270792306084,-0.021006953045099697,-0.033960120967661656,-0.016763226403656795,0.0,0.0,0.0,0,0,0,0,0,0,0,11,0,1,0
