timestamp,datetime,close,volume,open,high,low,ema20,ema50,ema100,rsi,atr,adx,momentum_3,momentum_3_atr,momentum_5,momentum_5_atr,momentum_10,momentum_10_atr,ema_slope_5,ema_slope_10,ema_gap_20_50,ema_gap_50_100,distance_ema20,distance_ema50,distance_ema100,volatility_10,volatility_20,volatility_ratio,return_1,return_3,return_5,return_10,volume_change,volume_ma20,volume_ratio,ema_cross,price_above_ema20,price_above_ema50,price_above_ema100,rsi_above_50,rsi_overbought,rsi_oversold,hour_utc,asia_hours,europe_hours,us_hours
1772348593971,2026-03-01 07:03:13.971000+00:00,2170.3115664958964,12382579.168882685,2170.3115664958964,2170.3115664958964,2170.3115664958964,2170.3115664958964,2170.3115664958964,2170.3115664958964,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0,0,0,0,0,0,0,7,1,0,0
1772352185703,2026-03-01 08:03:05.703000+00:00,2179.939775652719,11233843.330226583,2170.3115664958964,2179.939775652719,2170.3115664958964,2171.228538796546,2170.689143325576,2170.5022241029624,,,,,,,,,,,,0.0002484904264752872,8.611795949246146e-05,0.004012123413319422,0.004261610814052757,0.004348095774772676,,,,0.004436325781725481,,,,-0.09277032054378986,,,1,1,1,1,0,0,0,8,0,1,0
1772355641168,2026-03-01 09:00:41.168000+00:00,2167.211627637529,11301139.530242404,2179.939775652719,2179.939775652719,2167.211627637529,2170.845975829021,2170.5527701613387,2170.4370637769143,,,,,,,,,,,,0.00013508340903432283,5.331017717832768e-05,-0.0016741621616448233,-0.0015393049041425718,-0.0014860767875814155,,,,-0.0058387613076966716,,,,0.005990487675286316,,,1,0,0,0,0,0,0,9,0,1,0
1772359228502,2026-03-01 10:00:28.502000+00:00,2153.7518036207034,10841300.769439014,2167.211627637529,2179.939775652719,2153.7518036207034,2169.217959428229,2169.893908728373,2170.106662585702,,,,-16.559762875192973,,,,,,,,-0.00031151260318539677,-9.803843331625179e-05,-0.007129830241494974,-0.007439121812701573,-0.007536430926170058,,,,-0.00621066436022133,-0.007630131604527968,,,-0.040689592370118044,,,0,0,0,0,0,0,0,10,0,1,0
1772362828703,2026-03-01 11:00:28.703000+00:00,2155.516773664492,10818736.666528204,2153.7518036207034,2167.211627637529,2153.7518036207034,2167.913084593587,2169.3300995101813,2169.8177538941927,,,,-24.423001988227043,,,,,,,,-0.000653203916229382,-0.00022474439760492452,-0.005718084833377326,-0.0063675536742002145,-0.006590866999790414,,,,0.0008194862754480337,-0.011203521427978091,,,-0.002081309557836142,,,0,0,0,0,0,0,0,11,0,1,0
1772366434341,2026-03-01 12:00:34.341000+00:00,2156.4218246422056,8550533.001315434,2155.516773664492,2156.4218246422056,2153.7518036207034,2166.8186788839316,2168.8238926526133,2169.552487968411,,,,-10.789802995323498,,-13.889741853690794,,,,-3.492887611964761,,-0.0009245627436486482,-0.00033582746664948546,-0.004798211471520617,-0.005718337967606549,-0.0060522450593029275,,,,0.0004198765645302416,-0.004978656840765261,-0.006399883808441698,,-0.20965513212187747,,,0,0,0,0,0,0,0,12,0,1,0
1772370013774,2026-03-01 13:00:13.774000+00:00,2150.800736460694,10764537.977774749,2156.4218246422056,2156.4218246422056,2150.800736460694,2165.293160557909,2168.1171022137146,2169.1811661563765,,,,-2.9510671600091882,,-29.13903919202494,,,,-5.9353782386374405,,-0.0013024857619187073,-0.0004905371479632564,-0.006693054022061582,-0.007986822176412802,-0.008473441491404351,,,,-0.002606673758017597,-0.0013701983464613487,-0.013366901011428234,,0.2589318088262693,,,0,0,0,0,0,0,0,13,0,1,0
1772373616162,2026-03-01 14:00:16.162000+00:00,2181.6661413176957,10837487.184887076,2150.800736460694,2181.6661413176957,2150.800736460694,2166.8524920588407,2168.6484370805374,2169.428393387294,,,,26.149367653203626,,14.454513680166656,,,,-3.993483770180319,,-0.0008281402328698681,-0.00035952157219565914,0.00683648255390927,0.006002680754785196,0.005641001089367188,,,,0.014350657563839686,0.012131368204919335,0.006669636456280603,,0.006776808002623369,,,0,1,1,1,0,0,0,14,0,1,0
1772377212041,2026-03-01 15:00:12.041000+00:00,2174.156325502531,10695082.40178518,2181.6661413176957,2181.6661413176957,2150.800736460694,2167.548095243954,2168.8644327049296,2169.522015805417,,,,17.734500860325625,,20.404521881827804,,,,-1.6698641842749566,,-0.0006069247303456789,-0.00030310045055863483,0.003048712170713611,0.0024399371015558203,0.002136097104962369,,,,-0.003442238788483376,0.008224040703756152,0.009473943027012321,,-0.01314001859217695,,,0,1,1,1,0,0,0,15,0,1,0
1772380922397,2026-03-01 16:02:02.397000+00:00,2178.376528359435,10267555.6570428,2174.156325502531,2181.6661413176957,2174.156325502531,2168.579374588285,2169.23745606393,2169.6973526876745,,,,27.57579189874059,,22.859754694942694,,,,0.6662899946982179,,-0.0003033699578647946,-0.00021196349028808524,0.004517775040173319,0.0042130345250849435,0.004000178025294217,11.81117724393649,,,0.0019410760888722844,0.012821174658940615,0.010605231642934365,,-0.03997414219744766,,,0,1,1,1,0,0,0,16,0,0,1
