timestamp,datetime,close,funding,oi,buy_ratio
1733817600000,2024-12-10 08:00:00+00:00,6.791,0.0001,21163622.6,0.8687
1733821200000,2024-12-10 09:00:00+00:00,6.853,0.0001,21278486.7,0.8698
1733824800000,2024-12-10 10:00:00+00:00,6.945,0.0001,21275143.3,0.8717
1733828400000,2024-12-10 11:00:00+00:00,6.837,0.0001,21337787.39999999,0.8753
1733832000000,2024-12-10 12:00:00+00:00,6.561,0.0001,21557598.8,0.8755
1733835600000,2024-12-10 13:00:00+00:00,6.674,0.0001,21145887.89999999,0.8751
1733839200000,2024-12-10 14:00:00+00:00,6.704,0.0001,21282915.1,0.872
1733842800000,2024-12-10 15:00:00+00:00,6.338,0.0001,21234688.8,0.8708
1733846400000,2024-12-10 16:00:00+00:00,6.694,0.0001,21063170.2,0.8555
1733850000000,2024-12-10 17:00:00+00:00,6.297,0.0001,21383874.2,0.8527
1733853600000,2024-12-10 18:00:00+00:00,6.524,0.0001,21103222.89999999,0.8587
1733857200000,2024-12-10 19:00:00+00:00,6.55,0.0001,21058279.8,0.8535
1733860800000,2024-12-10 20:00:00+00:00,6.643,0.0001,21054245.89999999,0.8576
1733864400000,2024-12-10 21:00:00+00:00,6.693,0.0001,21075822.3,0.8553
1733868000000,2024-12-10 22:00:00+00:00,6.651,0.0001,21114980.89999999,0.8592
1733871600000,2024-12-10 23:00:00+00:00,6.632,0.0001,21051535.3,0.8611
1733875200000,2024-12-11 00:00:00+00:00,6.588,0.0001,21056417.2,0.8651
1733878800000,2024-12-11 01:00:00+00:00,6.415,0.0001,20130562.5,0.8675
1733882400000,2024-12-11 02:00:00+00:00,6.641,0.0001,20091569.1,0.8651
1733886000000,2024-12-11 03:00:00+00:00,6.679,0.0001,20100715.2,0.8643
1733889600000,2024-12-11 04:00:00+00:00,6.671,0.0001,20130080.89999999,0.8593
1733893200000,2024-12-11 05:00:00+00:00,6.631,0.0001,20149753.89999999,0.8609
1733896800000,2024-12-11 06:00:00+00:00,6.672,0.0001,20224759.6,0.8595
1733900400000,2024-12-11 07:00:00+00:00,6.573,0.0001,20250542.5,0.8568
1733904000000,2024-12-11 08:00:00+00:00,6.738,0.0001,20153821.7,0.8623
1733907600000,2024-12-11 09:00:00+00:00,6.775,0.0001,20264772.8,0.859
1733911200000,2024-12-11 10:00:00+00:00,6.74,0.0001,20243126.89999999,0.8613
1733914800000,2024-12-11 11:00:00+00:00,6.753,0.0001,20286662.5,0.862
1733918400000,2024-12-11 12:00:00+00:00,6.825,0.0001,20230119.39999999,0.8627
1733922000000,2024-12-11 13:00:00+00:00,6.969,0.0001,20256306.89999999,0.8697
1733925600000,2024-12-11 14:00:00+00:00,7.119,0.0001,20939520.6,0.8641
1733929200000,2024-12-11 15:00:00+00:00,7.213,0.0001,21051559.39999999,0.8662
1733932800000,2024-12-11 16:00:00+00:00,7.289,0.0001,21224600.0,0.8651
1733936400000,2024-12-11 17:00:00+00:00,7.174,0.0001,20943084.39999999,0.8665
1733940000000,2024-12-11 18:00:00+00:00,7.197,0.0001,20596420.89999999,0.8626
1733943600000,2024-12-11 19:00:00+00:00,7.258,0.0001,20562590.5,0.8599
1733947200000,2024-12-11 20:00:00+00:00,7.204,0.0001,20652409.89999999,0.8576
1733950800000,2024-12-11 21:00:00+00:00,7.173,0.0001,20592198.3,0.8633
1733954400000,2024-12-11 22:00:00+00:00,7.192,0.0001,20498869.39999999,0.864
1733958000000,2024-12-11 23:00:00+00:00,7.212,0.0001,20180530.2,0.866
1733961600000,2024-12-12 00:00:00+00:00,7.301,0.0001,20166537.7,0.864
1733965200000,2024-12-12 01:00:00+00:00,7.255,0.0001,20218205.2,0.8618
1733968800000,2024-12-12 02:00:00+00:00,7.462,0.0001,20281984.89999999,0.8692
