bar_index,datetime,direction,ml_conf,adx,entry,exit,outcome,position_notional,gross_pnl,fee,net_pnl,equity_after
1,2026-05-07 22:00:09.845000+00:00,BUY,0.7423829436302185,23.27749466866331,0.659156790915818,0.6634468781821977,TP,950.0,6.183024978621829,1.9000000000000001,4.283024978621829,1004.2830249786218
10,2026-05-08 13:00:13.210000+00:00,SELL,0.6725160479545593,33.88151844919886,0.6675088910212649,0.6649764443765854,TP,954.0688737296907,3.619619978953777,1.9081377474593815,1.7114822314943954,1005.9945072101162
23,2026-05-09 02:00:33.453000+00:00,SELL,0.9781292676925659,49.03218637940229,0.6935750371072926,0.6868423107839652,TP,955.6947818496104,9.277195790756489,1.9113895636992209,7.365806227057268,1013.3603134371735
32,2026-05-10 02:01:00.287000+00:00,BUY,0.9476634860038757,21.16884085211077,0.6805886739617492,0.6840301430963551,TP,962.6922977653148,4.86795616153382,1.9253845955306297,2.94257156600319,1016.3028850031767
40,2026-05-10 15:00:52.122000+00:00,SELL,0.8498872518539429,24.855554226342303,0.6865610869611771,0.6879252251404476,SL,965.4877407530179,-1.9183415923094516,1.9309754815060358,-3.849317073815487,1012.4535679293612
48,2026-05-11 07:00:47.460000+00:00,SELL,0.6499872207641602,65.46703086545897,0.7067433485419836,0.6968897113387649,TP,961.830889532893,13.41014762411066,1.9236617790657862,11.486485845044875,1023.940053774406
56,2026-05-11 20:00:16.728000+00:00,BUY,0.7047567963600159,62.1781814726932,0.6987834722732558,0.695469418127206,SL,972.7430510856857,-4.613336275691166,1.9454861021713714,-6.558822377862538,1017.3812313965435
66,2026-05-12 09:01:08.302000+00:00,BUY,0.9557740688323975,69.94614515684253,0.6803510211073357,0.6761218513338957,SL,966.5121698267163,-6.007992826468024,1.9330243396534328,-7.941017166121457,1009.440214230422
74,2026-05-13 03:00:44.643000+00:00,SELL,0.7788686156272888,71.84396165969444,0.6697227961660858,0.6736336959274546,SL,958.9682035189009,-5.599971420671612,1.9179364070378018,-7.517907827709414,1001.9223064027126
82,2026-05-13 16:00:50.053000+00:00,BUY,0.8769124746322632,34.95169660046988,0.6538006939294954,0.6608728588767441,TP,951.8261910825769,10.295908044988046,1.9036523821651539,8.392255662822892,1010.3145620655355
90,2026-05-14 13:00:13.289000+00:00,SELL,0.7956514954566956,65.62741421932377,0.6786976630248732,0.6752914530797114,TP,959.7988339622586,4.816984810329545,1.9195976679245172,2.8973871424050284,1013.2119492079405
98,2026-05-14 22:01:03.880000+00:00,SELL,0.6930664777755737,77.19489471210773,0.6987507803321699,0.6922818175049387,TP,962.5513517475434,8.911201373966215,1.925102703495087,6.986098670471128,1020.1980478784117
106,2026-05-15 07:01:02.535000+00:00,BUY,0.7755828499794006,58.47172750939029,0.6816377372793104,0.6759783033384862,SL,969.1881454844911,-8.046878841380604,1.9383762909689821,-9.985255132349586,1010.2127927460621
114,2026-05-16 00:00:14.871000+00:00,SELL,0.9134166836738586,89.7559280945641,0.6661691507701145,0.6596702666861878,TP,959.7021531087589,9.3624765435904,1.919404306217518,7.443072237372882,1017.655864983435
122,2026-05-16 09:00:09.186000+00:00,BUY,0.9444355964660645,63.692935302470666,0.6489775489744904,0.6452939459764749,SL,966.7730717342632,-5.487413533901738,1.9335461434685266,-7.420959677370265,1010.2349053060647
