timestamp,datetime,open,high,low,close,volume
1744243200000,2025-04-10 00:00:00+00:00,82613.7,82739.93,82061.85,82346.64,304919061.04
1744246800000,2025-04-10 01:00:00+00:00,82346.64,82594.64,82225.56,82247.55,300792485.79
1744250400000,2025-04-10 02:00:00+00:00,82247.55,82561.44,82196.98,82202.14,171702728.08
1744254000000,2025-04-10 03:00:00+00:00,82202.14,82221.69,81473.57,81770.87,282917829.8
1744257600000,2025-04-10 04:00:00+00:00,81770.87,82061.3,81643.22,82014.56,130121815.31
1744261200000,2025-04-10 05:00:00+00:00,82014.56,82236.62,81927.34,82159.08,151073981.4
1744264800000,2025-04-10 06:00:00+00:00,82159.08,82338.23,81839.74,82151.25,155194186.68
1744268400000,2025-04-10 07:00:00+00:00,82151.25,82240.27,81298.17,81589.25,289810685.74
1744272000000,2025-04-10 08:00:00+00:00,81589.25,81839.49,81431.75,81548.67,151026891.89
1744275600000,2025-04-10 09:00:00+00:00,81548.67,82075.07,81344.05,82033.84,184887731.73
1744279200000,2025-04-10 10:00:00+00:00,82033.84,82120.17,81571.94,81763.82,189603742.01
1744282800000,2025-04-10 11:00:00+00:00,81763.82,81939.07,81501.23,81878.87,140997307.01
1744286400000,2025-04-10 12:00:00+00:00,81878.87,82413.57,81461.99,81709.8,538659438.66
1744290000000,2025-04-10 13:00:00+00:00,81709.8,81946.7,80781.63,80869.83,550473302.33
1744293600000,2025-04-10 14:00:00+00:00,80869.83,81830.11,80638.13,81265.61,473107587.43
1744297200000,2025-04-10 15:00:00+00:00,81265.61,81345.92,78617.02,78753.74,961623502.53
1744300800000,2025-04-10 16:00:00+00:00,78753.74,79682.68,78467.69,79453.42,714526605.75
1744304400000,2025-04-10 17:00:00+00:00,79453.42,79662.18,78622.07,79328.4,520303643.85
1744308000000,2025-04-10 18:00:00+00:00,79328.4,79873.44,79221.58,79499.11,349395010.83
1744311600000,2025-04-10 19:00:00+00:00,79499.11,80024.42,79309.54,79643.99,377885743.26
1744315200000,2025-04-10 20:00:00+00:00,79643.99,79951.66,79568.27,79921.63,151356234.86
1744318800000,2025-04-10 21:00:00+00:00,79921.63,80031.42,79678.16,79713.29,101176912.2
1744322400000,2025-04-10 22:00:00+00:00,79713.29,79914.55,79544.76,79691.09,97704565.39
1744326000000,2025-04-10 23:00:00+00:00,79691.09,79739.19,79380.04,79604.53,146984194.29
1744329600000,2025-04-11 00:00:00+00:00,79604.53,79745.66,78976.78,79041.33,291151436.16
