timestamp,datetime,open,high,low,close,volume
1744243200000,2025-04-10 00:00:00+00:00,119.06,119.28,116.81,117.57,44883167.6
1744246800000,2025-04-10 01:00:00+00:00,117.57,117.94,116.6,117.0,31399171.86
1744250400000,2025-04-10 02:00:00+00:00,117.0,117.56,116.76,116.96,24920151.76
1744254000000,2025-04-10 03:00:00+00:00,116.96,117.01,114.5,115.48,61093680.81
1744257600000,2025-04-10 04:00:00+00:00,115.48,115.85,114.73,115.7,48926782.06
1744261200000,2025-04-10 05:00:00+00:00,115.7,116.53,115.39,116.14,29891165.38
1744264800000,2025-04-10 06:00:00+00:00,116.14,116.95,115.96,116.09,73482441.65
1744268400000,2025-04-10 07:00:00+00:00,116.09,116.63,114.14,114.79,50783372.04
1744272000000,2025-04-10 08:00:00+00:00,114.79,115.16,114.13,114.61,30604427.57
1744275600000,2025-04-10 09:00:00+00:00,114.61,115.23,114.28,114.86,27839985.86
1744279200000,2025-04-10 10:00:00+00:00,114.86,114.87,113.8,114.45,27697198.87
1744282800000,2025-04-10 11:00:00+00:00,114.45,114.58,113.42,113.96,27767842.22
1744286400000,2025-04-10 12:00:00+00:00,113.96,115.69,112.88,113.39,103383928.99
1744290000000,2025-04-10 13:00:00+00:00,113.39,113.83,111.95,112.78,84740194.18
1744293600000,2025-04-10 14:00:00+00:00,112.78,114.53,112.46,112.9,55006829.02
1744297200000,2025-04-10 15:00:00+00:00,112.9,113.13,109.43,109.61,104225901.89
1744300800000,2025-04-10 16:00:00+00:00,109.61,110.28,108.57,109.42,73601022.48
1744304400000,2025-04-10 17:00:00+00:00,109.42,110.65,108.32,110.47,58300758.02
1744308000000,2025-04-10 18:00:00+00:00,110.47,111.46,110.17,111.38,42001929.18
1744311600000,2025-04-10 19:00:00+00:00,111.38,111.88,110.8,111.34,28163617.75
1744315200000,2025-04-10 20:00:00+00:00,111.34,112.87,111.28,112.84,23640967.01
1744318800000,2025-04-10 21:00:00+00:00,112.84,112.88,111.94,112.35,16959690.15
1744322400000,2025-04-10 22:00:00+00:00,112.35,113.38,112.13,112.67,25749925.26
1744326000000,2025-04-10 23:00:00+00:00,112.67,113.06,112.34,112.83,18066543.56
1744329600000,2025-04-11 00:00:00+00:00,112.83,113.4,112.18,112.24,29095805.17
1744333200000,2025-04-11 01:00:00+00:00,112.24,114.22,112.19,114.2,32927759.23
1744336800000,2025-04-11 02:00:00+00:00,114.2,115.52,113.71,114.39,31290878.65
1744340400000,2025-04-11 03:00:00+00:00,114.39,115.76,114.39,115.41,31671383.67
1744344000000,2025-04-11 04:00:00+00:00,115.41,116.3,115.17,115.5,22997371.62
1744347600000,2025-04-11 05:00:00+00:00,115.5,116.13,115.01,116.06,19488234.53
1744351200000,2025-04-11 06:00:00+00:00,116.06,117.74,116.06,116.96,38206194.37
1744354800000,2025-04-11 07:00:00+00:00,116.96,117.02,116.19,116.59,23512941.92
1744358400000,2025-04-11 08:00:00+00:00,116.59,117.84,115.93,117.58,72804309.91
1744362000000,2025-04-11 09:00:00+00:00,117.58,118.53,116.96,118.2,45925384.93
1744365600000,2025-04-11 10:00:00+00:00,118.2,119.09,117.67,118.68,51210551.39
1744369200000,2025-04-11 11:00:00+00:00,118.68,119.37,117.71,118.01,48053359.81
1744372800000,2025-04-11 12:00:00+00:00,118.01,119.0,117.59,117.86,46305276.39
1744376400000,2025-04-11 13:00:00+00:00,117.86,121.44,117.67,120.56,130857148.52
1744380000000,2025-04-11 14:00:00+00:00,120.56,121.0,118.58,119.7,99952920.98
1744383600000,2025-04-11 15:00:00+00:00,119.7,120.29,118.6,119.92,66767637.34
1744387200000,2025-04-11 16:00:00+00:00,119.92,120.57,118.69,119.97,41403938.51
1744390800000,2025-04-11 17:00:00+00:00,119.97,121.94,119.84,121.4,82075865.38
1744394400000,2025-04-11 18:00:00+00:00,121.4,121.79,119.86,119.94,46405375.62
1744398000000,2025-04-11 19:00:00+00:00,119.94,120.92,119.93,120.88,24025921.12
1744401600000,2025-04-11 20:00:00+00:00,120.88,121.96,120.62,121.62,23742393.84
1744405200000,2025-04-11 21:00:00+00:00,121.62,122.64,120.98,121.17,31866034.34
1744408800000,2025-04-11 22:00:00+00:00,121.17,121.4,120.73,121.18,15670842.42
1744412400000,2025-04-11 23:00:00+00:00,121.18,121.9,120.01,121.41,25207362.39
1744416000000,2025-04-12 00:00:00+00:00,121.41,122.21,120.87,121.19,40237477.97
1744419600000,2025-04-12 01:00:00+00:00,121.19,121.79,120.64,121.21,25246503.21
1744423200000,2025-04-12 02:00:00+00:00,121.21,121.5,119.45,119.67,29407121.22
1744426800000,2025-04-12 03:00:00+00:00,119.67,120.49,119.59,120.18,19279275.79
1744430400000,2025-04-12 04:00:00+00:00,120.18,123.31,119.83,122.6,73160467.02
1744434000000,2025-04-12 05:00:00+00:00,122.6,122.92,122.12,122.39,36032523.57
1744437600000,2025-04-12 06:00:00+00:00,122.39,123.61,122.39,122.91,39781349.84
1744441200000,2025-04-12 07:00:00+00:00,122.91,124.55,122.77,124.25,60351590.64
1744444800000,2025-04-12 08:00:00+00:00,124.25,125.5,124.04,124.33,53615711.75
1744448400000,2025-04-12 09:00:00+00:00,124.33,124.86,124.05,124.64,26919160.57
1744452000000,2025-04-12 10:00:00+00:00,124.64,124.92,124.05,124.38,26773047.19
1744455600000,2025-04-12 11:00:00+00:00,124.38,125.31,124.38,124.6,21076672.04
1744459200000,2025-04-12 12:00:00+00:00,124.6,126.6,124.41,126.39,52243508.96
1744462800000,2025-04-12 13:00:00+00:00,126.39,128.83,126.13,128.6,84429506.46
1744466400000,2025-04-12 14:00:00+00:00,128.6,131.56,128.24,130.63,135028187.47
1744470000000,2025-04-12 15:00:00+00:00,130.63,131.73,129.77,130.47,85612095.31
1744473600000,2025-04-12 16:00:00+00:00,130.47,131.37,129.22,129.68,79120065.22
1744477200000,2025-04-12 17:00:00+00:00,129.68,129.82,128.23,129.06,55031596.46
1744480800000,2025-04-12 18:00:00+00:00,129.06,131.05,129.04,130.94,31594187.55
1744484400000,2025-04-12 19:00:00+00:00,130.94,131.54,129.83,130.72,40354086.44
1744488000000,2025-04-12 20:00:00+00:00,130.72,134.0,130.64,132.79,65599326.05
1744491600000,2025-04-12 21:00:00+00:00,132.79,133.01,131.1,132.75,49668399.45
1744495200000,2025-04-12 22:00:00+00:00,132.75,133.93,131.97,132.06,42739572.49
1744498800000,2025-04-12 23:00:00+00:00,132.06,132.64,131.68,132.25,32972654.77
1744502400000,2025-04-13 00:00:00+00:00,132.25,133.68,131.71,133.01,46045388.06
1744506000000,2025-04-13 01:00:00+00:00,133.01,133.89,131.09,131.37,58693222.99
1744509600000,2025-04-13 02:00:00+00:00,131.37,133.22,130.93,132.91,47279434.01
1744513200000,2025-04-13 03:00:00+00:00,132.91,133.21,131.63,131.81,32527469.99
1744516800000,2025-04-13 04:00:00+00:00,131.81,132.01,129.98,130.22,50478767.02
1744520400000,2025-04-13 05:00:00+00:00,130.22,130.6,129.55,129.95,38501880.78
1744524000000,2025-04-13 06:00:00+00:00,129.95,130.19,128.95,128.98,38228384.07
1744527600000,2025-04-13 07:00:00+00:00,128.98,129.73,128.19,128.54,37879612.83
1744531200000,2025-04-13 08:00:00+00:00,128.54,129.99,128.2,129.96,43146475.45
