timestamp,datetime,close,funding,oi,buy_ratio
1733817600000,2024-12-10 08:00:00+00:00,3.7914,0.0001,57234220.0,0.8361
1733821200000,2024-12-10 09:00:00+00:00,3.7847,0.0001,57659950.0,0.8377
1733824800000,2024-12-10 10:00:00+00:00,3.8001,0.0001,57647090.0,0.8469
1733828400000,2024-12-10 11:00:00+00:00,3.784,0.0001,57839250.0,0.8438
1733832000000,2024-12-10 12:00:00+00:00,3.6795,0.0001,58231530.0,0.8476
1733835600000,2024-12-10 13:00:00+00:00,3.7966,0.0001,57497490.0,0.8287
1733839200000,2024-12-10 14:00:00+00:00,3.8463,0.0001,58902050.0,0.8127
1733842800000,2024-12-10 15:00:00+00:00,3.6506,0.0001,59670820.0,0.8068
1733846400000,2024-12-10 16:00:00+00:00,3.6788,0.0001,57161600.0,0.8194
1733850000000,2024-12-10 17:00:00+00:00,3.4662,0.0001,56737320.0,0.8164
1733853600000,2024-12-10 18:00:00+00:00,3.5545,0.0001,56369900.0,0.8303
1733857200000,2024-12-10 19:00:00+00:00,3.6224,0.0001,55844620.0,0.8079
1733860800000,2024-12-10 20:00:00+00:00,3.6529,0.0001,55698530.0,0.8059
1733864400000,2024-12-10 21:00:00+00:00,3.6969,0.0001,55658190.0,0.8045
1733868000000,2024-12-10 22:00:00+00:00,3.7001,0.0001,55412540.0,0.8034
1733871600000,2024-12-10 23:00:00+00:00,3.7127,0.0001,55204350.0,0.803
1733875200000,2024-12-11 00:00:00+00:00,3.6658,0.0001,55093730.0,0.8024
1733878800000,2024-12-11 01:00:00+00:00,3.5912,0.0001,54575890.0,0.802
1733882400000,2024-12-11 02:00:00+00:00,3.6894,0.0001,54467090.0,0.8048
1733886000000,2024-12-11 03:00:00+00:00,3.7184,0.0001,54460160.0,0.8006
1733889600000,2024-12-11 04:00:00+00:00,3.7099,0.0001,54260740.0,0.8014
1733893200000,2024-12-11 05:00:00+00:00,3.6833,0.0001,54379860.0,0.8006
1733896800000,2024-12-11 06:00:00+00:00,3.6666,0.0001,54339530.0,0.8065
1733900400000,2024-12-11 07:00:00+00:00,3.6304,0.0001,54495790.0,0.8011
1733904000000,2024-12-11 08:00:00+00:00,3.7174,0.0001,54246810.0,0.804
1733907600000,2024-12-11 09:00:00+00:00,3.7463,0.0001,54212180.0,0.8049
1733911200000,2024-12-11 10:00:00+00:00,3.7531,0.0001,54298050.0,0.8017
1733914800000,2024-12-11 11:00:00+00:00,3.7499,0.0001,54679860.0,0.8075
1733918400000,2024-12-11 12:00:00+00:00,3.7772,0.0001,54543460.0,0.8069
1733922000000,2024-12-11 13:00:00+00:00,3.8019,0.0001,54816820.0,0.8025
1733925600000,2024-12-11 14:00:00+00:00,3.8515,0.0001,55710180.0,0.8067
1733929200000,2024-12-11 15:00:00+00:00,4.0167,0.0001,56819840.0,0.8027
1733932800000,2024-12-11 16:00:00+00:00,4.2206,0.0001,57181440.0,0.8019
1733936400000,2024-12-11 17:00:00+00:00,4.2223,0.0001,56584030.0,0.7548
1733940000000,2024-12-11 18:00:00+00:00,4.2777,0.0001,57276870.0,0.7438
1733943600000,2024-12-11 19:00:00+00:00,4.3257,0.0001,57008360.0,0.7342
1733947200000,2024-12-11 20:00:00+00:00,4.2929,0.0001,56805970.0,0.7309
1733950800000,2024-12-11 21:00:00+00:00,4.321,0.0001,56669140.0,0.7099
1733954400000,2024-12-11 22:00:00+00:00,4.3366,0.0001,56387070.0,0.7046
1733958000000,2024-12-11 23:00:00+00:00,4.372,0.0001,56377330.0,0.6978
1733961600000,2024-12-12 00:00:00+00:00,4.5143,0.0001,57340180.0,0.7071
1733965200000,2024-12-12 01:00:00+00:00,4.6575,0.0001,58244180.0,0.6981
1733968800000,2024-12-12 02:00:00+00:00,4.7606,0.0001,59186180.0,0.6851
1733972400000,2024-12-12 03:00:00+00:00,4.8135,0.0001,59591530.0,0.6875
1733976000000,2024-12-12 04:00:00+00:00,4.7364,0.0001,59583880.0,0.6776
1733979600000,2024-12-12 05:00:00+00:00,4.7965,0.0001,59284180.0,0.6782
1733983200000,2024-12-12 06:00:00+00:00,4.7855,0.0001,59457730.0,0.672
1733986800000,2024-12-12 07:00:00+00:00,4.8464,0.0001,59102620.0,0.6656
1733990400000,2024-12-12 08:00:00+00:00,4.7876,0.0001,59783390.0,0.6646
1733994000000,2024-12-12 09:00:00+00:00,4.6905,0.0001,58886960.0,0.6622
1733997600000,2024-12-12 10:00:00+00:00,4.7375,0.0001,59192320.0,0.6651
1734001200000,2024-12-12 11:00:00+00:00,4.7171,0.0001,58519080.0,0.6867
1734004800000,2024-12-12 12:00:00+00:00,4.6817,0.0001,58648920.0,0.6772
1734008400000,2024-12-12 13:00:00+00:00,4.6945,0.0001,58477250.0,0.7011
1734012000000,2024-12-12 14:00:00+00:00,4.7029,0.0001,57994860.0,0.6964
1734015600000,2024-12-12 15:00:00+00:00,4.579,0.0001,58355650.0,0.6961
1734019200000,2024-12-12 16:00:00+00:00,4.6463,0.0001,57822560.0,0.7085
1734022800000,2024-12-12 17:00:00+00:00,4.6327,0.0001,58308460.0,0.7075
1734026400000,2024-12-12 18:00:00+00:00,4.6542,0.0001,58237560.0,0.6786
1734030000000,2024-12-12 19:00:00+00:00,4.5618,0.0001,57609260.0,0.6824
1734033600000,2024-12-12 20:00:00+00:00,4.6492,0.0001,57076240.0,0.6848
1734037200000,2024-12-12 21:00:00+00:00,4.6129,0.0001,57314790.0,0.6872
1734040800000,2024-12-12 22:00:00+00:00,4.5726,0.0001,56996550.0,0.691
1734044400000,2024-12-12 23:00:00+00:00,4.6194,0.0001,56238920.0,0.6967
1734048000000,2024-12-13 00:00:00+00:00,4.6973,0.0001,56577590.0,0.694
1734051600000,2024-12-13 01:00:00+00:00,4.6692,0.0001,56727550.0,0.7032
1734055200000,2024-12-13 02:00:00+00:00,4.6273,0.0001,56817780.0,0.7033
1734058800000,2024-12-13 03:00:00+00:00,4.6617,0.0001,56637070.0,0.7509
1734062400000,2024-12-13 04:00:00+00:00,4.6271,0.0001,56514690.0,0.7465
1734066000000,2024-12-13 05:00:00+00:00,4.6368,0.0001,56238710.0,0.7505
1734069600000,2024-12-13 06:00:00+00:00,4.5549,0.0001,56371430.0,0.7483
1734073200000,2024-12-13 07:00:00+00:00,4.6525,0.0001,56266770.0,0.7543
1734076800000,2024-12-13 08:00:00+00:00,4.7122,0.0001,56471160.0,0.7508
1734080400000,2024-12-13 09:00:00+00:00,4.7108,0.0001,56586040.0,0.7081
1734084000000,2024-12-13 10:00:00+00:00,4.7013,0.0001,56988070.0,0.7025
1734087600000,2024-12-13 11:00:00+00:00,4.7622,0.0001,56632350.0,0.7134
1734091200000,2024-12-13 12:00:00+00:00,4.7557,0.0001,56832890.0,0.7083
1734094800000,2024-12-13 13:00:00+00:00,4.8094,0.0001,56365550.0,0.7126
1734098400000,2024-12-13 14:00:00+00:00,4.8951,0.0001,56483430.0,0.7014
1734102000000,2024-12-13 15:00:00+00:00,4.7566,0.0001,56758930.0,0.7008
1734105600000,2024-12-13 16:00:00+00:00,4.8095,0.0001,52497300.0,0.6988
1734109200000,2024-12-13 17:00:00+00:00,4.773,0.0001,53064770.0,0.6885
1734112800000,2024-12-13 18:00:00+00:00,4.714,0.0001,53345530.0,0.696
1734116400000,2024-12-13 19:00:00+00:00,4.7608,0.0001,52817390.0,0.6971
1734120000000,2024-12-13 20:00:00+00:00,4.785,0.0001,53240600.0,0.691
