timestamp,symbol,pairs,price_usd,liquidity_usd,vol24h_usd,buys24h,sells24h,flow_bias
1780310848114,WMNT,29,0.6474,8517826,794553,590,985,0.375
1780310848114,mETH,21,2179.6114,69923,313,63,71,0.47
1780310848114,cmETH,7,2177.4627,3108793,137642,191,216,0.469
1780310848114,USDe,4,1.0,11303404,145516,399,98,0.803
1780310848114,FBTC,2,74680.1021,3259622,21034,6,6,0.5
