bar_index,datetime,direction,ml_conf,adx,entry,exit,outcome,position_notional,gross_pnl,fee,net_pnl,equity_after
7,2026-05-08 10:00:27.595000+00:00,SELL,0.6701385974884033,34.24203300904754,0.6649270275843534,0.6668714903769533,SL,950.0,-2.7781088395230245,1.9000000000000001,-4.678108839523024,995.321891160477
15,2026-05-08 18:00:13.207000+00:00,SELL,0.9537201523780823,25.228524549238347,0.6796786624789032,0.6748259995998749,TP,945.5557966024531,6.7509306493275165,1.8911115932049063,4.8598190561226104,1000.1817102165996
23,2026-05-09 02:00:33.453000+00:00,SELL,0.9781292676925659,49.03218637940229,0.6935750371072926,0.6868423107839652,TP,950.1726247057696,9.223590671231207,1.9003452494115394,7.323245421819668,1007.5049556384193
41,2026-05-10 18:00:41.878000+00:00,SELL,0.95218425989151,38.7779775062824,0.7089728138591085,0.7040050773386928,TP,957.1297078564984,6.706559280619248,1.9142594157129968,4.792299864906251,1012.2972555033256
53,2026-05-11 12:00:48.585000+00:00,SELL,0.6876105070114136,48.29847106715897,0.7065029168446466,0.700061376462739,TP,961.6823927281592,8.76813926684765,1.9233647854563185,6.844774481391331,1019.1420299847169
62,2026-05-12 02:00:53.722000+00:00,BUY,0.980246901512146,81.83297608288616,0.6854695711685125,0.6913218520517107,TP,968.184928485481,8.265998064242732,1.936369856970962,6.32962820727177,1025.4716581919888
70,2026-05-12 13:00:38.124000+00:00,SELL,0.6568111181259155,65.94607331355755,0.6773195776942719,0.6703936960206999,TP,974.1980752823894,9.96159098042926,1.9483961505647789,8.013194829864482,1033.4848530218533
78,2026-05-13 09:01:03.756000+00:00,SELL,0.6942862868309021,54.29476589381153,0.6730018191466661,0.6754372389472593,SL,981.8106103707605,-3.552919075257797,1.9636212207415211,-5.516540295999318,1027.968312725854
86,2026-05-13 20:01:01.379000+00:00,BUY,0.6814419627189636,45.33702365691577,0.6518117438285201,0.6589492067171021,TP,976.5698970895613,10.693626594762303,1.9531397941791226,8.74048680058318,1036.7087995264371
95,2026-05-14 18:00:36.733000+00:00,SELL,0.9771130084991455,79.22389592844704,0.687223109540171,0.6822375487123414,TP,984.8733595501152,7.1449082162434205,1.9697467191002305,5.17516149714319,1041.8839610235802
103,2026-05-15 03:01:03.673000+00:00,SELL,0.6387076377868652,64.73703635132229,0.6927635861236489,0.6853649628434604,TP,989.7897629724011,10.570823480772228,1.9795795259448024,8.591243954827426,1050.4752049784076
111,2026-05-15 12:00:26.136000+00:00,BUY,0.86203533411026,52.64079409159051,0.6775283377207957,0.6733379385986548,SL,997.9514447294872,-6.172162292135742,1.9959028894589745,-8.168065181594717,1042.3071397968129
122,2026-05-16 09:00:09.186000+00:00,BUY,0.9444355964660645,63.692935302470666,0.6489775489744904,0.6452939459764749,SL,990.1917828069721,-5.620338369981823,1.9803835656139444,-7.600721935595768,1034.706417861217
130,2026-05-17 07:00:16.977000+00:00,BUY,0.686310887336731,37.38949974864197,0.64166019528286,0.6444494762859234,TP,982.9710969681561,4.272951053360941,1.9659421939363122,2.307008859424629,1037.0134267206417
142,2026-05-18 07:00:20.569000+00:00,BUY,0.8387182354927063,40.03397258071726,0.6306704636733602,0.6271983191331533,SL,985.1627553846096,-5.423795277172723,1.9703255107692192,-7.394120787941942,1029.6193059326997
150,2026-05-18 19:01:08.162000+00:00,BUY,0.9572743773460388,62.15438295964356,0.6197774285740382,0.6250319912096215,TP,978.1383406360646,8.292798253339035,1.9562766812721293,6.336521572066905,1035.9558275047666
162,2026-05-19 20:00:23.890000+00:00,BUY,0.92110276222229,20.05120688150047,0.6254124311177314,0.6222798925883913,SL,984.1580361295282,-4.929407881492882,1.9683160722590565,-6.897723953751938,1029.0581035510147
173,2026-05-20 10:00:43.642000+00:00,BUY,0.8240473866462708,46.92571516751404,0.6256331054324809,0.6296345472858355,TP,977.605198373464,6.2525948880606,1.9552103967469279,4.2973844913136725,1033.3554880423285
185,2026-05-21 04:00:45.184000+00:00,SELL,0.800723671913147,76.44309029425571,0.6785631025789478,0.686446389031563,SL,889.472823609461,-10.333554880423229,1.778945647218922,-12.112500527642151,1021.2429875146863
194,2026-05-22 07:00:58.676000+00:00,BUY,0.9899752736091614,25.206884225223828,0.6709058619735049,0.6756803513499053,TP,970.1808381389519,6.904274306466931,1.940361676277904,4.963912630189027,1026.2069001448754
202,2026-05-22 19:00:08.615000+00:00,BUY,0.92387455701828,59.61666490711479,0.6455671230300858,0.6401791619122466,SL,974.8965551376316,-8.136574099905298,1.9497931102752633,-10.086367210180562,1016.1205329346948
210,2026-05-23 18:01:04.527000+00:00,SELL,0.9332366585731506,57.67054338740128,0.6541264262973012,0.6491579202236426,TP,965.31450628796,7.3321773814143905,1.93062901257592,5.401548368838471,1021.5220813035332
221,2026-05-24 16:01:08.739000+00:00,BUY,0.6957420706748962,49.7973255163027,0.6520033837152057,0.6486706621878631,SL,970.4459772383566,-4.960443887631809,1.9408919544767131,-6.901335842108522,1014.6207454614247
231,2026-05-25 09:00:47.633000+00:00,SELL,0.7498976588249207,75.76829359275469,0.6474381016316063,0.6503314021307997,SL,963.8897081883534,-4.307473667120587,1.927779416376707,-6.235253083497295,1008.3854923779274
245,2026-05-26 11:00:30.116000+00:00,SELL,0.8528147339820862,42.15157345293899,0.6446864024440303,0.638199854537498,TP,957.966217759031,9.638630101048292,1.915932435518062,7.72269766553023,1016.1081900434576
