bar_index,arch,direction,entry,exit,outcome,notional,net_pnl,equity_after
1,old,BUY,0.659156790915818,0.6634468781821977,TP,950.0,4.283024978621829,1004.2830249786218
10,old,SELL,0.6675088910212649,0.6649764443765854,TP,954.0688737296907,1.7114822314943954,1005.9945072101162
23,old,SELL,0.6935750371072926,0.6868423107839652,TP,955.6947818496104,7.365806227057268,1013.3603134371735
32,old,BUY,0.6805886739617492,0.6840301430963551,TP,962.6922977653148,2.94257156600319,1016.3028850031767
40,old,SELL,0.6865610869611771,0.6879252251404476,SL,965.4877407530179,-3.849317073815487,1012.4535679293612
48,old,SELL,0.7067433485419836,0.6968897113387649,TP,961.830889532893,11.486485845044875,1023.940053774406
56,old,BUY,0.6987834722732558,0.695469418127206,SL,972.7430510856857,-6.558822377862538,1017.3812313965435
66,old,BUY,0.6803510211073357,0.6761218513338957,SL,966.5121698267163,-7.941017166121457,1009.440214230422
74,old,SELL,0.6697227961660858,0.6736336959274546,SL,958.9682035189009,-7.517907827709414,1001.9223064027126
82,old,BUY,0.6538006939294954,0.6608728588767441,TP,951.8261910825769,8.392255662822892,1010.3145620655355
90,old,SELL,0.6786976630248732,0.6752914530797114,TP,959.7988339622586,2.8973871424050284,1013.2119492079405
98,old,SELL,0.6987507803321699,0.6922818175049387,TP,962.5513517475434,6.986098670471128,1020.1980478784117
106,old,BUY,0.6816377372793104,0.6759783033384862,SL,969.1881454844911,-9.985255132349586,1010.2127927460621
114,old,SELL,0.6661691507701145,0.6596702666861878,TP,959.7021531087589,7.443072237372882,1017.655864983435
122,old,BUY,0.6489775489744904,0.6452939459764749,SL,966.7730717342632,-7.420959677370265,1010.2349053060647
130,old,BUY,0.64166019528286,0.6444494762859234,TP,959.7231600407614,2.2524465262896376,1012.4873518323543
142,old,BUY,0.6306704636733602,0.6271983191331533,SL,961.8629842407365,-7.219244787780991,1005.2681070445733
150,old,BUY,0.6197774285740382,0.6250319912096215,TP,955.0047016923446,6.1866585147493005,1011.4547655593226
158,old,BUY,0.6294696932298628,0.6268509863851071,SL,960.8820272813564,-5.919205661216193,1005.5355598981064
166,old,BUY,0.6237664129354996,0.6213633362739753,SL,955.258781903201,-5.59067737508029,999.9448825230261
174,old,BUY,0.6245150026261611,0.628672931122316,TP,949.9476383968747,4.424715563515924,1004.369598086542
182,old,SELL,0.6769573460917656,0.6664828430268819,TP,947.7074427017297,12.768381246660024,1017.1379793332021
190,old,SELL,0.6801960816439767,0.6754125578218564,TP,966.2810803665419,4.862873290212154,1022.0008526234143
198,old,BUY,0.6663374187788507,0.6624681420211144,SL,970.9008099922436,-7.579611882921453,1014.4212407404929
206,old,SELL,0.636107522491151,0.6385042335412906,SL,963.7001787034682,-5.558407358039051,1008.8628333824538
214,old,SELL,0.6584924519241095,0.6526714452212069,TP,958.4196917133311,6.555493797243043,1015.4183271796968
222,old,BUY,0.654573552107202,0.6514349224991787,SL,964.6474108207119,-6.554704624952732,1008.8636225547441
231,old,SELL,0.6474381016316063,0.6503314021307997,SL,958.4204414270068,-6.199873244758014,1002.6637493099861
243,old,BUY,0.6404303934331115,0.6467782389073106,TP,952.5305618444868,7.536272201588876,1010.200021511575
