timestamp,datetime,close,funding,oi,buy_ratio
1734037200000,2024-12-12 21:00:00+00:00,1.2674,0.0001,23106704.0,0.773
1734040800000,2024-12-12 22:00:00+00:00,1.268,0.0001,22940434.0,0.7716
1734044400000,2024-12-12 23:00:00+00:00,1.2716,0.0001,22877655.0,0.7735
1734048000000,2024-12-13 00:00:00+00:00,1.2718,0.0001,22792094.0,0.7764
1734051600000,2024-12-13 01:00:00+00:00,1.2509,0.0001,22611385.0,0.7758
1734055200000,2024-12-13 02:00:00+00:00,1.2665,0.0001,22507804.0,0.7746
1734058800000,2024-12-13 03:00:00+00:00,1.2756,0.0001,22560313.0,0.7759
1734062400000,2024-12-13 04:00:00+00:00,1.2692,0.0001,22516817.0,0.7777
1734066000000,2024-12-13 05:00:00+00:00,1.2662,0.0001,22398208.0,0.7723
1734069600000,2024-12-13 06:00:00+00:00,1.2568,0.0001,22357094.0,0.7754
1734073200000,2024-12-13 07:00:00+00:00,1.2504,0.0001,22396221.0,0.7691
1734076800000,2024-12-13 08:00:00+00:00,1.2658,0.0001,22328503.0,0.7748
1734080400000,2024-12-13 09:00:00+00:00,1.2607,0.0001,22492835.0,0.7742
1734084000000,2024-12-13 10:00:00+00:00,1.2683,0.0001,22490494.0,0.7715
1734087600000,2024-12-13 11:00:00+00:00,1.2633,0.0001,22587673.0,0.7783
1734091200000,2024-12-13 12:00:00+00:00,1.2668,0.0001,22754453.0,0.776
1734094800000,2024-12-13 13:00:00+00:00,1.2583,0.0001,22787603.0,0.7836
1734098400000,2024-12-13 14:00:00+00:00,1.2636,0.0001,22664468.0,0.7803
1734102000000,2024-12-13 15:00:00+00:00,1.2436,0.0001,22686105.0,0.7822
1734105600000,2024-12-13 16:00:00+00:00,1.2611,0.0001,22655001.0,0.7817
1734109200000,2024-12-13 17:00:00+00:00,1.2721,0.0001,22895890.0,0.7828
1734112800000,2024-12-13 18:00:00+00:00,1.26,0.0001,22852601.0,0.7837
1734116400000,2024-12-13 19:00:00+00:00,1.2631,0.0001,22819300.0,0.7862
1734120000000,2024-12-13 20:00:00+00:00,1.266,0.0001,22827669.0,0.7863
1734123600000,2024-12-13 21:00:00+00:00,1.2584,0.0001,22903521.0,0.7846
1734127200000,2024-12-13 22:00:00+00:00,1.2519,0.0001,22809198.0,0.7784
1734130800000,2024-12-13 23:00:00+00:00,1.2604,0.0001,22746715.0,0.7789
1734134400000,2024-12-14 00:00:00+00:00,1.2571,0.0001,22811351.0,0.7847
1734138000000,2024-12-14 01:00:00+00:00,1.2778,0.0001,22362256.0,0.7916
1734141600000,2024-12-14 02:00:00+00:00,1.2562,0.0001,22363130.0,0.7889
1734145200000,2024-12-14 03:00:00+00:00,1.2616,0.0001,22288635.0,0.7876
1734148800000,2024-12-14 04:00:00+00:00,1.2591,0.0001,22334069.0,0.7904
1734152400000,2024-12-14 05:00:00+00:00,1.2468,0.0001,22263806.0,0.7916
1734156000000,2024-12-14 06:00:00+00:00,1.2444,0.0001,22469684.0,0.7911
1734159600000,2024-12-14 07:00:00+00:00,1.2411,0.0001,22394525.0,0.7905
1734163200000,2024-12-14 08:00:00+00:00,1.2469,0.0001,22425809.0,0.7883
1734166800000,2024-12-14 09:00:00+00:00,1.2409,0.0001,22391943.0,0.7892
1734170400000,2024-12-14 10:00:00+00:00,1.2298,0.0001,22473210.0,0.7839
1734174000000,2024-12-14 11:00:00+00:00,1.2282,0.0001,22413092.0,0.7845
1734177600000,2024-12-14 12:00:00+00:00,1.2142,0.0001,22736471.0,0.7801
1734181200000,2024-12-14 13:00:00+00:00,1.2003,0.0001,22566717.0,0.776
1734184800000,2024-12-14 14:00:00+00:00,1.2195,0.0001,22483540.0,0.7742
1734188400000,2024-12-14 15:00:00+00:00,1.2201,0.0001,22810782.0,0.7802
1734192000000,2024-12-14 16:00:00+00:00,1.2311,0.0001,22717156.0,0.783
1734195600000,2024-12-14 17:00:00+00:00,1.2218,0.0001,22842391.0,0.7777
1734199200000,2024-12-14 18:00:00+00:00,1.2164,0.0001,22782864.0,0.7751
1734202800000,2024-12-14 19:00:00+00:00,1.2267,0.0001,22856790.0,0.77
1734206400000,2024-12-14 20:00:00+00:00,1.2136,0.0001,22917361.0,0.7736
