timestamp,datetime,close,volume,open,high,low,ema20,ema50,ema100,rsi,atr,adx,momentum_3,momentum_3_atr,momentum_5,momentum_5_atr,momentum_10,momentum_10_atr,ema_slope_5,ema_slope_10,ema_gap_20_50,ema_gap_50_100,distance_ema20,distance_ema50,distance_ema100,volatility_10,volatility_20,volatility_ratio,return_1,return_3,return_5,return_10,volume_change,volume_ma20,volume_ratio,ema_cross,price_above_ema20,price_above_ema50,price_above_ema100,rsi_above_50,rsi_overbought,rsi_oversold,hour_utc,asia_hours,europe_hours,us_hours
1772348591074,2026-03-01 07:03:11.074000+00:00,66699.0427834983,77985.3530959883,66699.0427834983,66699.0427834983,66699.0427834983,66699.0427834983,66699.0427834983,66699.0427834983,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0,0,0,0,0,0,0,7,1,0,0
1772352183206,2026-03-01 08:03:03.206000+00:00,66988.37234728063,76232.70489642036,66699.0427834983,66988.37234728063,66699.0427834983,66726.597980049,66710.38904090153,66704.77208179102,,,,,,,,,,,,0.00024297473572721648,8.420625594262202e-05,0.0039230887705364184,0.00416701671772089,0.004251573862539762,,,,0.004337836822058794,,,,-0.02247406891151349,,,1,1,1,1,0,0,0,8,0,1,0
1772355816053,2026-03-01 09:03:36.053000+00:00,66750.40716870342,75961.90078643069,66988.37234728063,66988.37234728063,66699.0427834983,66728.86552182562,66711.9583792467,66705.67574687839,,,,,,,,,,,,0.00025343496113246824,9.418437483717682e-05,0.0003228235143717926,0.0005763402902690783,0.0006705789473561875,,,,-0.003552335580622179,,,,-0.0035523350556380118,,,1,1,1,1,0,0,0,9,0,1,0
1772359430822,2026-03-01 10:03:50.822000+00:00,66489.27739274262,71692.03593582362,66750.40716870342,66988.37234728063,66489.27739274262,66706.0476047701,66703.22579154065,66701.3906309549,,,,-209.76539075568144,,,,,,,,4.2303999483638246e-05,2.7513078338945274e-05,-0.0032496335761313497,-0.0032074670491448382,-0.0031800422180980857,,,,-0.003912032705670643,-0.003144953540586304,,,-0.056210610929970484,,,1,0,0,0,0,0,0,10,0,1,0
1772362957988,2026-03-01 11:02:37.988000+00:00,66182.03039938095,68559.2613259607,66489.27739274262,66750.40716870342,66182.03039938095,66656.14120425684,66682.78675655401,66691.10626993365,,,,-806.3419478996802,,,,,,,,-0.00039958666386340756,-0.00012474696919805806,-0.007112785053413992,-0.007509529543227129,-0.007633339721374566,,,,-0.004621000639649098,-0.012037043439709905,,,-0.0436976655631216,,,0,0,0,0,0,0,0,11,0,1,0
1772366621722,2026-03-01 12:03:41.722000+00:00,66015.12352466345,68386.83878632016,66182.03039938095,66489.27739274262,66015.12352466345,66595.09190143841,66656.60388471516,66677.7204729976,,,,-735.2836440399697,,-683.9192588348524,,,,-103.95088205988577,,-0.0009228190410531465,-0.00031669631374065264,-0.008708875687615646,-0.009623658012358096,-0.009937306549081534,,,,-0.002521936448765527,-0.011015418110958186,-0.010253809204651132,,-0.002514941618474653,,,0,0,0,0,0,0,0,12,0,1,0
1772370203664,2026-03-01 13:03:23.664000+00:00,66162.71443684305,68539.73229036019,66015.12352466345,66182.03039938095,66015.12352466345,66553.91309528648,66637.23567107313,66667.5223336678,,,,-326.56295589957153,,-825.6579104375851,,,,-172.68488476252242,,-0.001250390640421113,-0.00045429410805300166,-0.005877921225809037,-0.007120962168544265,-0.007572021265440429,,,,0.0022357136410486866,-0.0049115130845927,-0.01232539142998157,,0.002235715332854493,,,0,0,0,0,0,0,0,13,0,1,0
1772373828739,2026-03-01 14:03:48.739000+00:00,66614.65193319716,72281.27915141413,66162.71443684305,66614.65193319716,66015.12352466345,66559.69774651607,66636.35003429367,66666.47539504462,,,,432.62153381621465,,-135.75523550625076,,,,-169.16777530954278,,-0.0011503074183707887,-0.0004518817077463456,0.0008256375635955613,-0.000325619591789517,-0.0007773541579986491,,,,0.00683069762480093,0.006536842874198978,-0.002033773893890256,,0.05458945834809126,,,0,1,0,0,0,0,0,14,0,1,0
1772377405983,2026-03-01 15:03:25.983000+00:00,67094.27818400146,72868.63204500562,66614.65193319716,67094.27818400146,66162.71443684305,66610.61016913372,66654.30800094888,66674.9467374002,,,,1079.154659338019,,605.000791258848,,,,-95.43743563636963,,-0.0006555890103086846,-0.00030954260125031657,0.007261125722158066,0.0066007763976234654,0.0062891905748767565,,,,0.00720001136214421,0.016347082330836482,0.00909922343846814,,0.008125933858490697,,,0,1,1,1,0,0,0,15,0,1,0
1772381055533,2026-03-01 16:04:15.533000+00:00,67201.05613356017,72984.60028086852,67094.27818400146,67201.05613356017,66614.65193319716,66666.84311812672,66675.74910418854,66685.36474524495,,,,1038.3416967171215,,1019.0257341792167,,,,10.701913869881537,,-0.00013357159359241461,-0.0001441941735364072,0.008013174022457829,0.007878532096441501,0.007733201884480768,408.98751484272157,,,0.0015914613354341967,0.015693759023570397,0.01539731748980544,,0.0015914699179651048,,,0,1,1,1,0,0,0,16,0,0,1
