timestamp,datetime,close,volume,open,high,low
1772348591074,2026-03-01 07:03:11.074000+00:00,66699.0427834983,77985.3530959883,66699.0427834983,66699.0427834983,66699.0427834983
1772352183206,2026-03-01 08:03:03.206000+00:00,66988.37234728063,76232.70489642036,66699.0427834983,66988.37234728063,66699.0427834983
1772355816053,2026-03-01 09:03:36.053000+00:00,66750.40716870342,75961.90078643069,66988.37234728063,66988.37234728063,66699.0427834983
1772359430822,2026-03-01 10:03:50.822000+00:00,66489.27739274262,71692.03593582362,66750.40716870342,66988.37234728063,66489.27739274262
1772362957988,2026-03-01 11:02:37.988000+00:00,66182.03039938095,68559.2613259607,66489.27739274262,66750.40716870342,66182.03039938095
1772366621722,2026-03-01 12:03:41.722000+00:00,66015.12352466345,68386.83878632016,66182.03039938095,66489.27739274262,66015.12352466345
1772370203664,2026-03-01 13:03:23.664000+00:00,66162.71443684305,68539.73229036019,66015.12352466345,66182.03039938095,66015.12352466345
1772373828739,2026-03-01 14:03:48.739000+00:00,66614.65193319716,72281.27915141413,66162.71443684305,66614.65193319716,66015.12352466345
1772377405983,2026-03-01 15:03:25.983000+00:00,67094.27818400146,72868.63204500562,66614.65193319716,67094.27818400146,66162.71443684305
1772381055533,2026-03-01 16:04:15.533000+00:00,67201.05613356017,72984.60028086852,67094.27818400146,67201.05613356017,66614.65193319716
1772384638947,2026-03-01 17:03:58.947000+00:00,66834.11309835962,77584.00456511436,67201.05613356017,67201.05613356017,66834.11309835962
1772388164868,2026-03-01 18:02:44.868000+00:00,66443.87406273314,76914.4160557346,66834.11309835962,67201.05613356017,66443.87406273314
1772391828273,2026-03-01 19:03:48.273000+00:00,66198.43818249804,76067.9503429803,66443.87406273314,66834.11309835962,66198.43818249804
1772395361172,2026-03-01 20:02:41.172000+00:00,66103.14893642411,82934.27123120314,66198.43818249804,66443.87406273314,66103.14893642411
1772398983136,2026-03-01 21:03:03.136000+00:00,65504.8120437584,108779.9153197653,66103.14893642411,66198.43818249804,65504.8120437584
1772402630612,2026-03-01 22:03:50.612000+00:00,65373.82029279286,108562.39140938128,65504.8120437584,66103.14893642411,65373.82029279286
1772406212122,2026-03-01 23:03:32.122000+00:00,65242.24613925331,113972.35935284765,65373.82029279286,65504.8120437584,65242.24613925331
1772409841258,2026-03-02 00:04:01.258000+00:00,65377.678152429406,114248.15630183142,65242.24613925331,65377.678152429406,65242.24613925331
1772413359710,2026-03-02 01:02:39.710000+00:00,66276.31537964293,115807.47214175088,65377.678152429406,66276.31537964293,65242.24613925331
1772416975210,2026-03-02 02:02:55.210000+00:00,66760.19081205095,89069.27511378808,66276.31537964293,66760.19081205095,65377.678152429406
1772420516412,2026-03-02 03:01:56.412000+00:00,66564.65198114877,54459.29556789914,66760.19081205095,66760.19081205095,66276.31537964293
1772424115864,2026-03-02 04:01:55.864000+00:00,66508.72353634775,54413.5385480556,66564.65198114877,66760.19081205095,66508.72353634775
1772427711905,2026-03-02 05:01:51.905000+00:00,66385.86960625328,54313.02643236116,66508.72353634775,66564.65198114877,66385.86960625328
1772431297643,2026-03-02 06:01:37.643000+00:00,66487.4765154889,54396.15574411068,66385.86960625328,66508.72353634775,66385.86960625328
