timestamp,asset,price,liq_usd,dex_vol24h,flow_bias,cex_vol24h,score
1780324041908,WMNT,0.6404,8474153,735383,0.372,,37
1780324041908,mETH,2170.6771,69711,355,0.478,,48
1780324041908,cmETH,2158.4308,3085233,198518,0.467,,47
1780324041908,USDe,1.0,11303440,149776,0.847,,85
1780324041908,FBTC,74360.6799,3254781,41266,0.312,,31
