timestamp,datetime,open,high,low,close,volume
1744243200000,2025-04-10 00:00:00+00:00,1669.4,1669.71,1634.32,1646.46,145792406.34
1744246800000,2025-04-10 01:00:00+00:00,1646.46,1651.32,1629.01,1637.86,96279737.34
1744250400000,2025-04-10 02:00:00+00:00,1637.86,1646.11,1629.97,1633.01,81219849.56
1744254000000,2025-04-10 03:00:00+00:00,1633.01,1636.06,1601.96,1616.81,180187166.73
1744257600000,2025-04-10 04:00:00+00:00,1616.81,1620.36,1606.0,1619.47,72825749.54
1744261200000,2025-04-10 05:00:00+00:00,1619.47,1625.93,1614.57,1617.12,67335172.29
1744264800000,2025-04-10 06:00:00+00:00,1617.12,1622.76,1606.6,1616.32,54804714.58
1744268400000,2025-04-10 07:00:00+00:00,1616.32,1620.38,1584.15,1595.74,153977128.96
1744272000000,2025-04-10 08:00:00+00:00,1595.74,1598.75,1583.88,1592.68,74662820.2
1744275600000,2025-04-10 09:00:00+00:00,1592.68,1606.64,1586.44,1603.98,88238127.81
1744279200000,2025-04-10 10:00:00+00:00,1603.98,1605.93,1587.99,1594.93,56801331.52
1744282800000,2025-04-10 11:00:00+00:00,1594.93,1596.92,1582.11,1594.88,59765279.39
1744286400000,2025-04-10 12:00:00+00:00,1594.88,1623.33,1582.26,1593.44,331088180.32
1744290000000,2025-04-10 13:00:00+00:00,1593.44,1596.52,1561.09,1568.9,251061311.75
1744293600000,2025-04-10 14:00:00+00:00,1568.9,1584.02,1557.04,1565.51,176185177.07
1744297200000,2025-04-10 15:00:00+00:00,1565.51,1567.61,1483.9,1495.94,485371573.43
1744300800000,2025-04-10 16:00:00+00:00,1495.94,1513.68,1473.1,1510.68,319214803.49
1744304400000,2025-04-10 17:00:00+00:00,1510.68,1519.7,1488.09,1511.65,210990271.17
1744308000000,2025-04-10 18:00:00+00:00,1511.65,1522.82,1507.61,1518.75,131958375.62
1744311600000,2025-04-10 19:00:00+00:00,1518.75,1531.58,1511.01,1514.51,136197984.6
1744315200000,2025-04-10 20:00:00+00:00,1514.51,1533.56,1514.2,1531.12,87215785.77
1744318800000,2025-04-10 21:00:00+00:00,1531.12,1533.34,1519.49,1524.93,51847466.57
1744322400000,2025-04-10 22:00:00+00:00,1524.93,1532.58,1521.3,1524.82,42205566.3
1744326000000,2025-04-10 23:00:00+00:00,1524.82,1528.39,1515.13,1522.37,60551505.45
1744329600000,2025-04-11 00:00:00+00:00,1522.37,1529.13,1505.34,1508.35,107997911.54
1744333200000,2025-04-11 01:00:00+00:00,1508.35,1547.56,1507.32,1543.02,138531625.39
1744336800000,2025-04-11 02:00:00+00:00,1543.02,1549.75,1533.64,1534.71,83973326.87
1744340400000,2025-04-11 03:00:00+00:00,1534.71,1545.64,1534.71,1544.56,71537199.18
1744344000000,2025-04-11 04:00:00+00:00,1544.56,1558.03,1542.84,1547.44,65758759.33
1744347600000,2025-04-11 05:00:00+00:00,1547.44,1552.7,1541.07,1549.22,48186615.29
1744351200000,2025-04-11 06:00:00+00:00,1549.22,1561.8,1549.22,1552.64,59643788.91
1744354800000,2025-04-11 07:00:00+00:00,1552.64,1558.11,1546.92,1552.98,65219028.36
1744358400000,2025-04-11 08:00:00+00:00,1552.98,1570.12,1538.7,1551.49,198330219.53
1744362000000,2025-04-11 09:00:00+00:00,1551.49,1570.24,1544.95,1563.85,105582852.07
1744365600000,2025-04-11 10:00:00+00:00,1563.85,1584.41,1554.73,1568.09,142109474.49
1744369200000,2025-04-11 11:00:00+00:00,1568.09,1574.85,1556.03,1558.62,77048728.13
1744372800000,2025-04-11 12:00:00+00:00,1558.62,1569.9,1554.44,1556.48,139888204.54
1744376400000,2025-04-11 13:00:00+00:00,1556.48,1580.84,1549.93,1570.61,201146585.89
1744380000000,2025-04-11 14:00:00+00:00,1570.61,1570.61,1541.49,1556.41,184186510.8
1744383600000,2025-04-11 15:00:00+00:00,1556.41,1570.51,1554.0,1565.41,112950544.05
1744387200000,2025-04-11 16:00:00+00:00,1565.41,1573.45,1556.11,1565.83,78231461.51
1744390800000,2025-04-11 17:00:00+00:00,1565.83,1589.29,1563.48,1580.06,173554921.69
