timestamp,datetime,open,high,low,close,volume,ema20,ema50,ema100,rsi,atr,adx,momentum_3,momentum_3_atr,momentum_5,momentum_5_atr,momentum_10,momentum_10_atr,ema_slope_5,ema_slope_10,ema_gap_20_50,ema_gap_50_100,distance_ema20,distance_ema50,distance_ema100,volatility_10,volatility_20,volatility_ratio,return_1,return_3,return_5,return_10,volume_change,volume_ma20,volume_ratio,ema_cross,price_above_ema20,price_above_ema50,price_above_ema100,rsi_above_50,rsi_overbought,rsi_oversold,hour_utc,asia_hours,europe_hours,us_hours
1684191600000,2023-05-15 23:00:00+00:00,27305.0,27319.4,27153.16192535,27167.1,0.0,27167.1,27167.1,27167.1,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0,0,0,0,0,0,0,23,0,0,1
1684195200000,2023-05-16 00:00:00+00:00,27160.58,27300.36865536,27094.96499999,27209.97115515,0.0,27171.182967157143,27168.781221770587,27167.948933765343,,,,,,,,,,,,8.840092483176042e-05,3.063492232236035e-05,0.001427548739403141,0.0015160758608637071,0.0015467572280522997,,,,0.0015780541592589348,,,,0.0,,0.0,1,1,1,1,0,0,0,0,1,0,0
1684198800000,2023-05-16 01:00:00+00:00,27214.09141028,27258.06979142,26869.30646048,27031.22294628,0.0,27157.85344135932,27163.386779594486,27165.241488468604,,,,,,,,,,,,-0.00020370575584205286,-6.8275074046562e-05,-0.004662757877854647,-0.004865513803078883,-0.0049334566838102655,,,,-0.006569217139216654,,,,0.0,,0.0,0,0,0,0,0,0,0,1,1,0,0
1684202400000,2023-05-16 02:00:00+00:00,27017.70238935,27092.37,26980.87839512,27088.34663952,0.0,27151.23374594605,27160.44402900333,27163.718818192392,,,,-78.75336047999735,,,,,,,,-0.00033910649794403593,-0.00012055746898940942,-0.0023161785948470556,-0.00265449966157918,-0.0027747371108079563,,,,0.0021132485701267356,-0.0028988504654525737,,,0.0,,0.0,0,0,0,0,0,0,0,2,1,0,0
1684206000000,2023-05-16 03:00:00+00:00,27088.45,27147.32473246,27067.69,27139.22,0.0,27150.089579665473,27159.611714140454,27163.23369307967,,,,-70.75115514999925,,,,,,,,-0.00035059906508247586,-0.00013334122807841435,-0.00040035152125659774,-0.0007508102234700167,-0.0008840513375911797,,,,0.0018780533620970097,-0.0026001922143386036,,,0.0,,0.0,0,0,0,0,0,0,0,3,1,0,0
1684209600000,2023-05-16 04:00:00+00:00,27140.83,27150.45,27087.0,27119.6246001,0.0,27147.18815304019,27158.043592021222,27162.370146684036,,,,88.40165382000123,,-47.47539989999859,,,,-19.911846959807008,,-0.0003997135855625413,-0.00015928487239696057,-0.0010153373080410452,-0.0014146450494876342,-0.0015737045903284,,,,-0.0007220325381496195,0.003270353472193399,-0.0017475328577580829,,0.0,,0.0,0,0,0,0,0,0,0,4,1,0,0
1684213200000,2023-05-16 05:00:00+00:00,27120.79598509,27163.51,27039.995,27070.52,0.0,27139.88642417922,27154.6112942949,27160.551331898212,,,,-17.826639520000754,,-139.45115514999998,,,,-31.29654297792149,,-0.0005422603901817696,-0.00021870092144763,-0.002555884836622673,-0.003096759271695676,-0.0033147829290370847,,,,-0.001810666660180038,-0.0006580925649405378,-0.005125001947075103,,0.0,,0.0,0,0,0,0,0,0,0,5,1,0,0
1684216800000,2023-05-16 06:00:00+00:00,27070.14,27093.0,27004.22510884,27073.145,0.0,27133.530098066913,27151.41653765589,27158.82051344478,,,,-66.07500000000073,,41.92205372000171,,,,-24.323343292406207,,-0.0006587663507047408,-0.00027261772230601335,-0.002225478876086758,-0.0028827791561937288,-0.0031546109818122695,,,,9.69689536809426e-05,-0.002434668350822178,0.001550875215794445,,0.0,,0.0,0,0,0,0,0,0,0,6,1,0,0
1684220400000,2023-05-16 07:00:00+00:00,27072.235,27261.41664363,27070.22538137,27261.02602735,0.0,27145.672567522444,27155.714949016445,27160.84438500726,,,,141.40142724999896,,172.67938782999772,,,,-5.561178423606179,,-0.0003698072951809418,-0.0001888540694135577,0.00424942353300045,0.0038780447699966907,0.003688458316046951,,,,0.00693975625476817,0.005213989106968686,0.006374674325012819,,0.0,,0.0,0,1,1,1,0,0,0,7,1,0,0
1684224000000,2023-05-16 08:00:00+00:00,27243.78375,27291.76,27178.06,27208.5,0.0,27151.656132520307,27157.7849510158,27161.788060551673,,,,137.97999999999956,,69.27999999999884,,,,1.566552854834299,,-0.00022567446154199406,-0.000147380191869094,0.002093569070050539,0.0018674221434359607,0.0017197667305330665,73.85056132371606,,,-0.0019267810132055363,0.005097057611010092,0.0025527631228901004,,0.0,,0.0,0,1,1,1,0,0,0,8,0,1,0
1684227600000,2023-05-16 09:00:00+00:00,27204.15309844,27226.045,27080.58,27097.90906243,0.0,27146.53736394028,27155.436876953612,27160.5231298958,,,,24.764062430000195,,-21.71553766999932,,-69.19093756999791,,-0.6507890999127994,-20.562636059719807,-0.00032772490656876027,-0.0001872663835619598,-0.0017913261223095373,-0.0021184639666922294,-0.0023053336331684405,73.9445624355704,,,-0.004064573113916614,0.0009147094816652768,-0.0008007314994293857,-0.002546865052581948,0.0,,0.0,0,0,0,0,0,0,0,9,0,1,0
