timestamp,datetime,close,funding,oi,buy_ratio
1733817600000,2024-12-10 08:00:00+00:00,0.5625,0.0001,166733509.0,0.8806
1733821200000,2024-12-10 09:00:00+00:00,0.5646,0.0001,168769644.0,0.8765
1733824800000,2024-12-10 10:00:00+00:00,0.5737,0.0001,168288419.0,0.8811
1733828400000,2024-12-10 11:00:00+00:00,0.5655,0.0001,169030152.0,0.8767
1733832000000,2024-12-10 12:00:00+00:00,0.5406,0.0001,168893568.0,0.8906
1733835600000,2024-12-10 13:00:00+00:00,0.5495,0.0001,168359555.0,0.8882
1733839200000,2024-12-10 14:00:00+00:00,0.5513,0.0001,168208713.0,0.8911
1733842800000,2024-12-10 15:00:00+00:00,0.5207,0.0001,168329844.0,0.8829
1733846400000,2024-12-10 16:00:00+00:00,0.5324,0.0001,167603616.0,0.8776
1733850000000,2024-12-10 17:00:00+00:00,0.5066,0.0001,168964121.0,0.8798
1733853600000,2024-12-10 18:00:00+00:00,0.5246,0.0001,169602073.0,0.8811
1733857200000,2024-12-10 19:00:00+00:00,0.5391,0.0001,169477459.0,0.8784
1733860800000,2024-12-10 20:00:00+00:00,0.5506,0.0001,170883184.0,0.8716
1733864400000,2024-12-10 21:00:00+00:00,0.5529,0.0001,170312393.0,0.8779
1733868000000,2024-12-10 22:00:00+00:00,0.552,0.0001,168039512.0,0.879
1733871600000,2024-12-10 23:00:00+00:00,0.5502,0.0001,167469351.0,0.8748
1733875200000,2024-12-11 00:00:00+00:00,0.5454,0.0001,166655276.0,0.8735
1733878800000,2024-12-11 01:00:00+00:00,0.5312,0.0001,165803388.0,0.8734
1733882400000,2024-12-11 02:00:00+00:00,0.5524,0.0001,165195791.0,0.8743
1733886000000,2024-12-11 03:00:00+00:00,0.554,0.0001,164321009.0,0.8689
1733889600000,2024-12-11 04:00:00+00:00,0.5572,0.0001,165611656.0,0.8707
1733893200000,2024-12-11 05:00:00+00:00,0.5544,0.0001,165725789.0,0.8645
1733896800000,2024-12-11 06:00:00+00:00,0.5612,0.0001,164865859.0,0.8659
1733900400000,2024-12-11 07:00:00+00:00,0.5515,0.0001,164208727.0,0.8748
1733904000000,2024-12-11 08:00:00+00:00,0.5649,0.0001,163703566.0,0.8772
1733907600000,2024-12-11 09:00:00+00:00,0.5676,0.0001,163571812.0,0.8736
1733911200000,2024-12-11 10:00:00+00:00,0.5651,0.0001,163763436.0,0.8718
1733914800000,2024-12-11 11:00:00+00:00,0.5665,0.0001,166159005.0,0.8788
1733918400000,2024-12-11 12:00:00+00:00,0.5735,0.0001,166575153.0,0.8797
1733922000000,2024-12-11 13:00:00+00:00,0.5805,0.0001,165945262.0,0.8755
1733925600000,2024-12-11 14:00:00+00:00,0.5866,0.0001,164989766.0,0.8776
1733929200000,2024-12-11 15:00:00+00:00,0.5926,0.0001,166937668.0,0.8769
1733932800000,2024-12-11 16:00:00+00:00,0.5939,0.0001,166084655.0,0.8776
1733936400000,2024-12-11 17:00:00+00:00,0.5843,0.0001,167400198.0,0.8746
1733940000000,2024-12-11 18:00:00+00:00,0.5869,0.0001,165116183.0,0.8778
1733943600000,2024-12-11 19:00:00+00:00,0.5943,0.0001,165574754.0,0.8805
1733947200000,2024-12-11 20:00:00+00:00,0.5954,0.0001,166498077.0,0.8789
1733950800000,2024-12-11 21:00:00+00:00,0.5937,0.0001,173838964.0,0.8578
1733954400000,2024-12-11 22:00:00+00:00,0.6014,0.0001,174159756.0,0.8579
1733958000000,2024-12-11 23:00:00+00:00,0.5997,0.0001,175128973.0,0.8611
1733961600000,2024-12-12 00:00:00+00:00,0.6042,0.0001,174379715.0,0.8694
