timestamp,datetime,close,volume,open,high,low
1772348593971,2026-03-01 07:03:13.971000+00:00,2170.3115664958964,12382579.168882683,2170.3115664958964,2170.3115664958964,2170.3115664958964
1772352185703,2026-03-01 08:03:05.703000+00:00,2179.939775652719,11233843.330226585,2170.3115664958964,2179.939775652719,2170.3115664958964
1772355641168,2026-03-01 09:00:41.168000+00:00,2167.211627637529,11301139.530242404,2179.939775652719,2179.939775652719,2167.211627637529
1772359228502,2026-03-01 10:00:28.502000+00:00,2153.7518036207034,10841300.769439014,2167.211627637529,2179.939775652719,2153.7518036207034
1772362828703,2026-03-01 11:00:28.703000+00:00,2155.5167736644917,10818736.666528203,2153.7518036207034,2167.211627637529,2153.7518036207034
1772366434341,2026-03-01 12:00:34.341000+00:00,2156.4218246422056,8550533.001315434,2155.5167736644917,2156.4218246422056,2153.7518036207034
1772370013774,2026-03-01 13:00:13.774000+00:00,2150.800736460694,10764537.977774747,2156.4218246422056,2156.4218246422056,2150.800736460694
1772373616162,2026-03-01 14:00:16.162000+00:00,2181.6661413176953,10837487.184887076,2150.800736460694,2181.6661413176953,2150.800736460694
1772377212041,2026-03-01 15:00:12.041000+00:00,2174.156325502531,10695082.40178518,2181.6661413176953,2181.6661413176953,2150.800736460694
1772380922397,2026-03-01 16:02:02.397000+00:00,2178.376528359435,10267555.657042801,2174.156325502531,2181.6661413176953,2174.156325502531
1772384485735,2026-03-01 17:01:25.735000+00:00,2144.6884485452606,8733782.10547425,2178.376528359435,2178.376528359435,2144.6884485452606
1772388141089,2026-03-01 18:02:21.089000+00:00,2139.785726073686,10872714.674829174,2144.6884485452606,2178.376528359435,2139.785726073686
1772391782507,2026-03-01 19:03:02.507000+00:00,2149.942076726181,11023505.743029727,2139.785726073686,2149.942076726181,2139.785726073686
1772395333397,2026-03-01 20:02:13.397000+00:00,2129.3767569565002,10695464.12267848,2149.942076726181,2149.942076726181,2129.3767569565002
1772398946168,2026-03-01 21:02:26.168000+00:00,2083.9224702647443,11180302.301504195,2129.3767569565002,2149.942076726181,2083.9224702647443
1772402476396,2026-03-01 22:01:16.396000+00:00,2099.0969393824876,11024680.790339105,2083.9224702647443,2129.3767569565002,2083.9224702647443
1772406084989,2026-03-01 23:01:24.989000+00:00,2092.4191037868145,11692164.34463979,2099.0969393824876,2099.0969393824876,2083.9224702647443
1772409690830,2026-03-02 00:01:30.830000+00:00,2108.4427949306937,11972934.50034739,2092.4191037868145,2108.4427949306937,2092.4191037868145
1772413268561,2026-03-02 01:01:08.561000+00:00,2128.854201804688,12095890.053202307,2108.4427949306937,2128.854201804688,2092.4191037868145
1772416862958,2026-03-02 02:01:02.958000+00:00,2135.557101982089,11482984.115226846,2128.854201804688,2135.557101982089,2108.4427949306937
1772420533723,2026-03-02 03:02:13.723000+00:00,2133.030154573735,10325237.236970931,2135.557101982089,2135.557101982089,2128.854201804688
1772424111216,2026-03-02 04:01:51.216000+00:00,2142.9274777721084,10606644.694016974,2133.030154573735,2142.9274777721084,2133.030154573735
1772427707149,2026-03-02 05:01:47.149000+00:00,2146.0611280956996,10059987.143810531,2142.9274777721084,2146.0611280956996,2133.030154573735
1772431306743,2026-03-02 06:01:46.743000+00:00,2144.973895496883,10148531.136497602,2146.0611280956996,2146.0611280956996,2142.9274777721084
1772434906014,2026-03-02 07:01:46.014000+00:00,2108.050212079043,10242766.277553828,2144.973895496883,2146.0611280956996,2108.050212079043
1772438505413,2026-03-02 08:01:45.413000+00:00,2110.522492547629,8431187.048712343,2108.050212079043,2144.973895496883,2108.050212079043
1772442106616,2026-03-02 09:01:46.616000+00:00,2118.136814437623,10517429.301431954,2110.522492547629,2118.136814437623,2108.050212079043
1772445792419,2026-03-02 10:03:12.419000+00:00,2126.0085977419762,10523986.730797088,2118.136814437623,2126.0085977419762,2110.522492547629
1772449354064,2026-03-02 11:02:34.064000+00:00,2122.255684222067,10565212.67953563,2126.0085977419762,2126.0085977419762,2118.136814437623
1772453037114,2026-03-02 12:03:57.114000+00:00,2117.632520743017,10767627.455045825,2122.255684222067,2126.0085977419762,2117.632520743017
1772456562486,2026-03-02 13:02:42.486000+00:00,2105.096335776209,10805043.973207764,2117.632520743017,2122.255684222067,2105.096335776209
1772460236081,2026-03-02 14:03:56.081000+00:00,2094.5352691674248,10126926.975105349,2105.096335776209,2117.632520743017,2094.5352691674248
1772463799799,2026-03-02 15:03:19.799000+00:00,2149.073771446705,10685408.171180977,2094.5352691674248,2149.073771446705,2094.5352691674248
1772467412947,2026-03-02 16:03:32.947000+00:00,2224.098468667589,13090913.953441529,2149.073771446705,2224.098468667589,2094.5352691674248
1772470981788,2026-03-02 17:03:01.788000+00:00,2241.790215833222,8044594.076969158,2224.098468667589,2241.790215833222,2149.073771446705
1772474569484,2026-03-02 18:02:49.484000+00:00,2212.6400225054913,13491483.737477465,2241.790215833222,2241.790215833222,2212.6400225054913
1772478256647,2026-03-02 19:04:16.647000+00:00,2207.1762490679394,12953776.392165389,2212.6400225054913,2241.790215833222,2207.1762490679394
1772481813154,2026-03-02 20:03:33.154000+00:00,2218.7406283450723,13171511.021582002,2207.1762490679394,2218.7406283450723,2207.1762490679394
1772485394733,2026-03-02 21:03:14.733000+00:00,2226.645115793671,12465958.117078902,2218.7406283450723,2226.645115793671,2207.1762490679394
1772489017900,2026-03-02 22:03:37.900000+00:00,2226.383721706715,12545092.343875859,2226.645115793671,2226.645115793671,2218.7406283450723
1772492602843,2026-03-02 23:03:22.843000+00:00,2233.5752993467595,11347492.639090793,2226.383721706715,2233.5752993467595,2226.383721706715
